iter	Passed	Remaining
0	52	5186
1	108	5334
2	159	5167
3	208	4998
4	258	4903
5	307	4823
6	362	4814
7	419	4828
8	470	4760
9	525	4728
10	572	4628
11	628	4611
12	678	4541
13	733	4506
14	798	4525
15	842	4422
16	896	4375
17	941	4288
18	987	4211
19	1035	4141
20	1084	4078
21	1133	4020
22	1175	3935
23	1226	3883
24	1272	3816
25	1317	3750
26	1365	3691
27	1418	3646
28	1464	3585
29	1520	3546
30	1564	3481
31	1612	3427
32	1660	3372
33	1703	3306
34	1757	3263
35	1810	3218
36	1857	3163
37	1918	3129
38	1966	3075
39	2017	3026
40	2075	2987
41	2124	2934
42	2168	2873
43	2210	2813
44	2257	2758
45	2302	2702
46	2349	2649
47	2401	2601
48	2468	2569
49	2514	2514
50	2559	2459
51	2614	2413
52	2673	2371
53	2733	2328
54	2800	2291
55	2856	2244
56	2914	2198
57	2958	2142
58	3003	2087
59	3049	2032
60	3095	1979
61	3137	1923
62	3190	1873
63	3271	1840
64	3329	1792
65	3387	1744
66	3445	1697
67	3512	1653
68	3556	1597
69	3603	1544
70	3652	1492
71	3699	1438
72	3751	1387
73	3800	1335
74	3840	1280
75	3901	1231
76	3942	1177
77	3994	1126
78	4046	1075
79	4090	1022
80	4137	970
81	4184	918
82	4228	865
83	4275	814
84	4323	763
85	4367	710
86	4420	660
87	4472	609
88	4517	558
89	4563	507
90	4606	455
91	4654	404
92	4699	353
93	4767	304
94	4811	253
95	4857	202
96	4918	152
97	4963	101
98	5004	50
99	5048	0
