,anchor_left_distance_xl,anchor_right_distance_xl,anchor_left_distance_mn,anchor_right_distance_mn,anchor_left_distance_resnet,anchor_right_distance_resnet
0,1.1225246,1.6773708,1.4313581,1.4799012,0.9093827,1.6474227
1,1.035697,1.5312709,1.1445441,1.3230697,0.8703466,1.3745217
2,1.4366688,1.5591637,1.404197,1.5019445,1.0040184,1.7141886
3,1.214563,1.739963,0.9963529,1.6940196,1.3176441,1.6944649
4,1.6395375,1.1302365,1.6030246,1.0830888,1.6152304,1.0585418
5,1.2832634,1.7713695,1.4716328,1.6375711,1.2070067,1.6750451
6,1.2466571,1.2758957,0.9356385,1.1839012,1.2695409,1.092112
7,0.8939903,1.3973101,0.97506577,1.326645,0.87936854,1.3941239
8,1.0299754,1.4770677,1.1509521,1.2989064,1.1202029,1.3643713
9,0.8810005,1.1999328,1.2159455,1.6616442,0.99678254,1.231307
10,1.1088566,1.7021806,1.03429,1.611827,1.057905,1.6940277
11,1.0692548,1.7269835,1.2089639,1.7538147,0.9368671,1.7723763
12,1.7096581,1.435375,1.6823654,1.5858672,1.6732552,1.5929567
13,1.7735056,1.2288971,1.6840961,1.5847275,1.686181,1.2204
14,0.81230915,1.6177369,1.0626739,1.4965138,0.6145989,1.2458187
15,1.2547244,1.1460793,1.1869854,1.3283465,0.8852599,1.1629634
16,1.8446821,0.6596486,1.8299106,0.67772406,1.7505996,0.7156413
17,0.8265447,1.5184715,0.95030314,1.4780897,0.724823,1.4260011
18,1.2797353,0.7137724,1.3734568,1.1213564,0.99426347,0.6136749
19,1.6043425,1.0740653,1.6849515,1.1710377,1.5442638,1.1884091
20,0.9458976,1.4428096,1.1186454,1.3122399,0.97100264,1.3111295
21,1.1123798,1.6055586,1.2280967,1.5130361,1.1490576,1.5305886
22,1.5189993,1.1460103,1.3323128,1.0464734,1.4682716,1.3895553
23,1.2908679,1.8080921,1.2216655,1.7629082,1.0325997,1.7606361
24,1.3686697,1.700252,1.2189231,1.7263966,1.363045,1.500848
25,1.7474623,1.1664803,1.7070284,1.3121586,1.7599663,1.2223113
26,1.0426034,1.7421794,1.1374252,1.4912338,0.8772674,1.7752867
27,1.732209,1.1494185,1.6296682,1.1298628,1.6243483,0.9549886
28,1.7314153,1.1863462,1.7767309,0.87448525,1.678688,1.052115
29,1.8130744,0.6951287,1.7018708,0.9091083,1.741476,0.5090187
30,1.1235052,1.2530305,1.1968715,1.4211802,1.229398,1.4579931
31,1.0946939,1.5865095,1.2472794,1.7535764,1.0913321,1.4540501
32,1.0342858,1.5381259,1.1165133,1.6049907,0.9001883,1.3901505
33,1.4116354,1.162355,1.393593,1.0707312,1.3445168,1.05175
