Id,y
50100,1.95822
50101,2.46029
50102,1.47826
50103,2.26275
50104,1.76860
50105,1.35692
50106,2.01660
50107,2.52668
50108,1.87430
50109,1.98563
50110,1.10007
50111,1.56532
50112,1.76573
50113,1.62017
50114,1.81354
50115,2.12885
50116,1.97289
50117,1.71357
50118,2.02154
50119,1.79971
50120,2.24809
50121,2.04642
50122,1.07596
50123,1.85570
50124,1.67444
50125,1.74747
50126,1.81262
50127,1.93099
50128,1.60618
50129,1.96645
50130,2.05999
50131,2.14929
50132,1.67290
50133,1.82306
50134,1.66167
50135,2.09097
50136,1.87346
50137,1.99181
50138,1.79222
50139,1.73962
50140,1.73782
50141,2.65453
50142,1.88843
50143,1.52486
50144,2.09280
50145,2.11111
50146,1.93328
50147,2.24911
50148,1.92744
50149,1.72638
50150,1.57705
50151,1.78869
50152,1.81491
50153,2.17830
50154,1.67888
50155,2.36466
50156,2.34030
50157,1.21213
50158,1.42552
50159,1.13197
50160,1.51096
50161,2.16733
50162,2.24799
50163,2.40247
50164,1.90231
50165,1.47264
50166,1.34117
50167,1.75644
50168,1.79361
50169,0.98837
50170,1.85185
50171,2.19132
50172,1.36939
50173,2.17242
50174,2.05259
50175,1.17735
50176,2.25102
50177,2.32183
50178,2.39352
50179,2.15823
50180,2.51485
50181,1.46510
50182,2.13344
50183,1.18870
50184,2.35710
50185,1.46485
50186,2.25177
50187,2.34894
50188,2.23634
50189,2.33651
50190,2.38794
50191,2.24742
50192,2.31650
50193,2.12499
50194,1.77831
50195,1.70072
50196,1.96578
50197,2.14221
50198,2.23582
50199,2.12338
50200,2.19110
50201,2.62411
50202,1.44886
50203,1.58879
50204,1.40857
50205,1.14688
50206,2.32436
50207,2.12285
50208,1.61915
50209,1.80161
50210,2.20931
50211,1.32686
50212,2.18718
50213,2.57571
50214,1.72517
50215,1.30678
50216,1.21774
50217,1.26844
50218,1.79091
50219,2.25403
50220,2.48652
50221,2.28492
50222,2.27705
50223,1.91804
50224,1.53017
50225,2.44144
50226,1.38454
50227,2.48914
