Id,y
50100,1.62994
50101,2.34399
50102,1.66991
50103,2.35234
50104,1.74685
50105,1.54032
50106,2.09177
50107,2.41449
50108,1.85794
50109,2.05180
50110,1.34613
50111,1.72495
50112,1.78293
50113,1.48689
50114,2.06293
50115,2.05577
50116,1.82244
50117,1.80383
50118,1.84293
50119,1.68125
50120,2.25867
50121,2.08349
50122,1.33566
50123,1.96464
50124,1.61966
50125,1.83218
50126,1.71711
50127,1.85902
50128,1.82901
50129,1.88363
50130,2.01091
50131,1.92063
50132,1.77016
50133,1.67686
50134,1.70706
50135,2.11960
50136,1.75972
50137,1.83496
50138,1.76860
50139,1.84632
50140,1.77428
50141,2.68942
50142,1.82005
50143,1.66776
50144,1.84887
50145,2.22727
50146,1.63511
50147,2.32763
50148,1.84673
50149,1.80566
50150,1.66195
50151,2.00630
50152,1.82280
50153,1.96061
50154,1.74543
50155,2.46596
50156,2.18232
50157,1.33340
50158,1.75823
50159,1.32397
50160,1.67506
50161,2.27191
50162,2.29143
50163,2.44475
50164,1.80873
50165,1.40415
50166,1.37234
50167,1.69043
50168,1.74242
50169,1.21897
50170,1.82296
50171,2.36490
50172,1.45830
50173,2.15380
50174,1.97985
50175,1.49824
50176,2.42980
50177,2.37421
50178,2.50704
50179,2.09689
50180,2.34451
50181,1.49710
50182,2.19197
50183,1.41855
50184,2.28414
50185,1.45661
50186,2.00339
50187,2.38807
50188,2.17890
50189,2.11090
50190,2.37990
50191,2.07602
50192,2.20858
50193,2.39295
50194,1.75740
50195,1.76877
50196,2.07371
50197,1.99146
50198,2.01799
50199,2.12938
50200,2.02142
50201,2.83548
50202,1.61518
50203,1.54808
50204,1.52508
50205,1.23500
50206,2.15557
50207,2.09690
50208,1.73590
50209,1.64139
50210,2.15887
50211,1.40505
50212,1.81134
50213,2.32031
50214,1.48935
50215,1.23374
50216,1.47758
50217,1.53843
50218,1.85638
50219,2.08763
50220,2.87655
50221,2.33956
50222,2.13344
50223,1.57335
50224,1.53144
50225,2.24348
50226,1.57513
50227,2.17812
50228,1.91601
50229,2.30359
50230,1.64183
50231,1.73188
50232,2.08535
50233,2.24852
50234,1.85938
50235,1.16217
50236,1.33177
50237,1.74360
50238,1.66182
50239,2.26010
50240,1.88443
50241,1.18602
50242,2.28712
50243,2.05933
50244,1.49273
50245,1.56117
50246,2.32620
50247,1.23276
50248,2.49815
50249,2.40655
50250,2.05339
50251,1.85123
50252,2.18078
50253,2.19458
50254,1.99416
50255,2.00752
50256,2.15641
50257,2.05097
50258,1.78547
50259,1.97868
50260,1.24175
50261,2.08099
50262,1.51788
50263,1.77344
50264,1.29719
50265,1.92080
50266,1.98553
50267,2.35489
50268,1.74734
50269,1.59791
50270,2.29651
50271,2.21750
50272,2.08471
50273,2.38667
50274,1.59651
50275,1.39055
50276,1.89354
50277,1.91824
50278,1.33595
50279,1.89787
50280,2.30557
50281,1.60575
50282,2.22765
50283,1.97152
50284,1.86914
50285,1.52061
50286,1.93295
50287,2.63817
50288,2.41497
50289,1.70915
50290,2.18955
50291,2.34666
50292,1.64071
50293,2.51278
50294,1.54570
50295,1.87504
50296,2.49644
50297,1.92395
50298,2.28757
50299,2.21105
50300,1.79898
50301,1.92178
50302,2.23696
50303,2.18927
50304,1.82834
50305,1.12210
50306,1.20152
50307,1.89376
50308,2.15956
50309,1.35550
50310,2.44759
50311,1.80555
50312,2.34054
50313,2.22655
50314,1.51948
50315,1.87363
50316,1.69774
50317,1.39915
50318,2.18211
50319,2.14393
50320,2.04279
50321,2.13425
50322,2.50565
50323,1.34083
50324,2.04217
50325,1.87605
50326,2.15920
50327,1.79600
50328,1.88806
50329,1.78971
