Id,y
50100,1.96852
50101,2.04125
50102,1.76624
50103,2.38862
50104,1.67808
50105,1.44048
50106,1.99760
50107,1.99815
50108,1.92998
50109,1.89386
50110,1.41041
50111,1.63779
50112,1.92238
50113,1.81511
50114,2.07603
50115,2.13595
50116,2.00257
50117,1.91688
50118,2.09422
50119,1.48976
50120,2.17276
50121,1.88092
50122,1.36280
50123,2.00761
50124,1.66640
50125,1.48826
50126,1.89347
50127,1.85555
50128,1.67455
50129,1.71949
50130,2.11836
50131,1.89239
50132,1.81107
50133,1.93582
50134,1.81784
50135,1.96433
50136,1.67673
50137,1.61619
50138,1.84528
50139,1.76680
50140,1.78257
50141,2.30006
50142,1.68747
50143,1.71446
50144,1.66435
50145,2.03580
50146,1.87700
50147,2.01046
50148,2.00874
50149,1.72945
50150,1.81520
50151,1.76853
50152,1.96275
50153,2.14340
50154,1.38971
50155,2.26448
50156,2.29662
50157,1.64237
50158,1.46431
50159,1.33364
50160,1.61388
50161,2.22453
50162,2.68733
50163,2.09641
50164,1.70989
50165,1.69525
50166,1.63602
50167,1.87495
50168,1.55668
50169,1.46168
50170,1.67303
50171,2.41201
50172,1.74982
50173,2.24513
50174,1.76471
50175,1.22895
50176,2.43068
50177,2.25776
50178,2.09089
50179,2.03272
50180,2.29749
50181,1.35079
50182,2.03240
50183,1.56567
50184,1.99187
50185,1.22361
50186,2.04232
50187,2.42240
50188,2.27248
50189,1.96762
50190,2.29023
50191,2.50590
50192,2.31702
50193,2.58238
50194,1.77895
50195,1.72161
50196,1.79932
50197,1.84602
50198,2.00969
50199,1.98298
50200,1.84032
50201,2.47565
50202,1.40484
50203,1.33171
50204,1.56011
50205,1.33100
50206,2.44818
50207,1.86568
50208,1.62313
50209,1.54354
50210,1.82789
50211,1.45954
50212,1.83588
50213,1.94055
50214,1.61325
50215,1.55652
50216,1.33741
50217,1.57654
50218,1.95532
50219,2.02600
50220,2.89131
50221,2.42542
50222,2.41733
50223,1.99950
50224,1.24642
50225,2.24503
50226,1.57778
50227,2.14797
50228,1.68246
50229,2.43132
50230,1.65692
50231,1.80045
50232,2.16762
50233,2.04114
50234,1.96440
50235,1.55027
50236,1.47830
50237,1.92011
50238,1.80172
50239,2.00824
50240,1.31945
50241,1.41543
50242,2.12923
50243,1.98022
50244,1.47586
50245,1.64800
50246,2.00102
50247,1.54839
50248,2.50101
50249,2.17759
50250,1.99498
50251,1.71393
50252,1.69193
50253,2.18339
50254,2.01280
50255,1.77578
50256,2.15031
50257,1.85407
50258,1.99215
50259,1.63083
50260,1.35918
50261,1.78324
50262,1.76702
50263,1.54422
50264,1.54334
50265,1.98210
50266,1.71018
50267,2.21371
50268,1.75209
50269,1.85741
50270,2.24764
50271,2.23396
50272,2.35721
50273,2.06198
50274,1.94753
50275,1.60970
50276,1.45501
50277,1.95406
50278,1.60445
50279,1.75585
50280,2.27330
50281,1.56683
50282,2.27106
50283,2.01991
50284,1.93210
50285,1.33655
50286,1.92598
50287,2.12371
50288,2.16200
50289,1.78557
50290,2.27934
50291,2.52106
50292,1.80882
50293,2.10757
50294,1.85969
50295,1.75391
50296,2.26588
50297,1.58431
50298,1.97160
50299,2.20427
50300,1.83030
50301,1.56972
50302,2.33982
50303,2.03856
50304,1.90739
50305,1.51532
50306,1.44137
50307,1.67597
50308,1.87872
50309,1.63813
50310,2.10507
50311,1.77357
50312,2.08382
50313,2.43522
50314,1.53689
50315,1.80280
50316,1.79053
50317,1.54344
50318,1.79223
50319,1.88119
50320,1.87368
50321,1.97937
50322,2.40317
50323,1.64945
50324,1.99551
50325,2.20122
50326,2.12246
