Id,y
50100,1.93556
50101,2.17957
50102,1.76496
50103,2.19787
50104,1.66595
50105,1.61922
50106,1.92894
50107,2.43401
50108,1.92937
50109,1.82977
50110,1.52664
50111,1.79440
50112,1.61863
50113,1.64013
50114,1.69659
50115,1.88511
50116,1.44781
50117,1.85373
50118,2.18254
50119,1.72444
50120,2.01571
50121,2.30303
50122,1.08484
50123,2.13447
50124,1.61232
50125,2.17854
50126,1.52075
50127,1.95725
50128,1.53460
50129,1.90116
50130,1.77518
50131,2.18163
50132,1.74258
50133,1.76028
50134,1.92198
50135,2.13522
50136,1.68961
50137,1.97629
50138,1.53277
50139,1.83952
50140,2.08687
50141,2.22530
50142,1.96653
50143,1.53876
50144,1.80797
50145,2.09136
50146,1.79983
50147,2.26987
50148,1.92282
50149,1.58518
50150,1.45000
50151,1.62218
50152,1.63334
50153,1.99756
50154,1.98687
50155,2.23325
50156,1.97937
50157,1.17294
50158,2.22848
50159,1.18632
50160,1.81370
50161,2.19310
50162,2.09283
50163,1.88663
50164,1.81256
50165,1.51176
50166,1.53893
50167,1.74885
50168,1.71641
50169,1.24169
50170,1.94392
50171,2.00196
50172,1.57850
50173,1.85668
50174,2.16884
50175,1.68081
50176,2.25999
50177,2.11606
50178,2.14147
50179,1.82680
50180,2.13679
50181,1.81469
50182,1.97309
50183,1.44000
50184,2.22984
50185,1.83085
50186,2.10585
50187,2.36703
50188,2.07384
50189,2.23203
50190,2.33185
50191,2.08132
50192,2.03448
50193,2.09100
50194,1.92208
50195,1.66973
50196,2.19639
50197,1.95104
50198,1.97626
50199,2.35919
50200,1.76193
50201,2.36390
50202,1.73667
50203,1.89406
50204,1.57231
50205,1.38874
50206,1.75697
50207,2.07127
50208,1.92512
50209,1.61440
50210,2.04073
50211,1.54408
50212,1.97490
50213,2.42524
50214,1.95370
50215,1.48454
50216,1.40438
50217,1.70117
50218,1.78577
50219,2.07975
50220,2.28503
50221,1.99243
50222,1.97671
50223,1.92953
50224,1.59641
50225,2.08117
50226,1.91210
50227,2.15409
50228,1.76085
50229,1.97717
50230,2.03089
50231,1.82691
50232,2.02032
50233,2.36364
50234,1.59775
50235,1.54580
50236,1.75045
50237,1.60498
50238,1.80572
50239,2.13188
50240,2.23771
50241,1.25850
50242,2.13024
50243,1.74784
50244,1.39715
50245,1.91051
50246,2.11533
50247,1.34343
50248,2.62647
50249,2.20114
50250,2.17724
50251,1.90053
50252,2.53588
50253,1.96801
50254,1.65463
50255,1.75063
50256,2.12568
50257,1.76523
50258,1.68061
50259,2.24966
50260,1.01332
50261,2.15744
50262,1.71286
50263,1.86402
50264,1.31125
50265,1.83257
50266,1.81623
50267,2.03998
50268,1.82638
50269,1.71647
50270,2.15944
50271,1.94717
50272,2.13087
50273,2.18963
50274,2.07654
50275,1.39414
50276,2.42855
50277,1.67906
50278,1.47243
50279,1.71513
50280,1.93042
50281,1.47099
50282,2.20159
50283,2.19894
50284,1.75704
50285,1.62961
50286,1.75089
50287,2.33431
50288,2.29162
50289,1.65758
50290,1.92449
50291,2.25939
50292,1.78349
50293,2.35525
50294,1.71429
50295,1.91177
50296,2.32744
50297,1.72232
50298,1.98803
50299,2.27741
50300,1.67102
50301,2.04784
50302,2.21661
50303,2.03810
50304,1.50767
50305,1.04790
50306,1.33856
50307,1.95056
50308,2.11124
50309,1.28764
50310,2.13103
50311,1.98302
50312,2.22963
50313,1.91833
50314,1.77480
50315,1.70944
50316,1.73060
50317,1.61644
50318,2.36414
50319,1.96047
50320,2.39659
50321,2.10895
50322,2.13515
50323,1.28344
50324,1.97716
50325,1.80161
50326,1.80448
50327,1.83371
50328,1.72445
50329,1.97600
50330,1.71157
50331,2.06043
50332,1.63777
50333,1.72490
50334,2.01179
50335,1.67019
50336,1.86825
50337,1.48521
50338,2.01081
50339,1.80021
50340,1.76919
50341,1.57244
50342,1.82914
50343,1.25508
50344,1.67885
50345,2.31777
50346,1.26042
50347,2.20232
50348,2.27551
50349,1.28058
50350,2.24904
50351,1.88775
50352,1.91687
50353,1.65752
50354,1.39130
50355,1.74226
50356,1.94009
50357,2.05889
50358,2.05460
50359,1.74972
50360,1.99218
50361,1.97304
50362,1.65192
50363,1.90246
50364,1.70643
50365,1.54152
50366,2.18114
50367,1.56188
50368,2.22600
50369,2.46663
50370,2.43686
50371,2.01685
50372,2.10321
50373,1.81585
50374,1.77158
50375,1.80582
50376,2.12500
50377,1.30804
50378,1.97706
50379,1.89040
50380,1.71027
50381,2.06338
50382,2.27239
50383,1.99934
50384,1.86879
50385,2.35137
50386,1.60287
50387,2.18691
50388,1.62472
50389,1.97941
50390,1.53114
50391,2.03311
50392,1.98854
50393,1.71604
50394,1.81288
50395,1.88921
50396,2.26281
50397,1.78510
50398,1.53601
50399,1.73497
50400,2.30690
50401,1.72148
50402,1.67483
50403,1.99944
50404,1.78884
50405,2.18835
50406,2.12348
50407,2.17215
50408,1.95735
50409,1.68310
50410,1.64425
50411,1.96550
50412,2.14046
50413,1.98978
50414,1.64924
50415,1.67302
50416,1.82315
50417,1.81696
50418,1.99043
50419,1.97760
50420,1.81169
50421,2.19847
50422,1.91924
50423,2.40389
50424,1.58129
50425,1.81646
50426,1.94473
50427,2.08968
50428,2.10165
50429,1.84408
50430,2.14077
50431,1.77530
50432,1.64392
50433,1.30857
50434,2.15696
50435,2.25293
50436,1.91275
50437,2.10606
50438,1.39142
50439,1.86148
50440,1.76269
50441,2.20273
50442,2.28926
50443,1.69276
50444,1.80239
50445,1.27735
