Id,y
50100,1.79527
50101,2.35356
50102,1.93790
50103,2.26844
50104,1.79184
50105,1.53488
50106,1.93129
50107,2.48246
50108,1.87739
50109,1.92450
50110,1.17978
50111,1.59178
50112,1.90378
50113,1.62659
50114,1.84600
50115,2.09227
50116,1.66838
50117,1.87886
50118,1.93373
50119,1.55850
50120,2.10885
50121,2.07063
50122,1.13376
50123,1.90429
50124,1.80069
50125,1.77948
50126,1.66418
50127,1.97920
50128,1.65814
50129,1.70311
50130,2.12040
50131,2.07031
50132,1.72436
50133,1.63411
50134,1.75542
50135,2.08261
50136,1.81116
50137,1.73989
50138,1.75552
50139,1.85792
50140,1.75921
50141,2.52499
50142,1.83417
50143,1.61982
50144,1.83394
50145,2.12060
50146,1.72978
50147,2.30212
50148,1.93206
50149,1.97921
50150,1.58722
50151,1.79172
50152,1.95574
50153,2.09233
50154,1.77517
50155,2.25458
50156,2.00901
50157,1.30662
50158,1.68570
50159,1.22189
50160,1.88820
50161,2.25967
50162,2.22038
50163,2.46872
50164,1.92185
50165,1.45251
50166,1.29383
50167,1.66357
50168,1.64337
50169,1.16723
50170,2.00524
50171,2.35111
50172,1.45209
50173,2.13797
50174,1.92921
50175,1.36168
50176,2.20811
50177,2.50671
50178,2.36106
50179,2.08420
50180,2.35672
50181,1.27707
50182,2.30749
50183,1.68879
50184,2.25589
50185,1.40982
50186,2.04330
50187,2.18963
50188,2.32620
50189,2.27950
50190,2.25603
50191,2.11294
50192,2.38652
50193,2.17605
50194,1.80493
50195,1.62184
50196,2.01985
50197,1.99196
50198,2.07123
50199,2.12044
50200,1.97662
50201,2.75922
50202,1.58769
50203,1.50797
50204,1.51302
50205,1.20343
50206,2.21258
50207,2.10071
50208,1.79307
50209,1.60057
50210,2.10829
50211,1.37915
50212,1.88502
50213,2.35552
50214,1.56472
50215,1.13436
50216,1.38973
50217,1.62662
50218,1.87774
50219,2.24539
50220,2.54153
50221,2.43629
50222,2.11561
50223,1.83496
50224,1.50694
50225,2.27801
50226,1.50590
50227,2.24347
50228,1.81246
50229,2.20002
50230,1.67033
50231,1.72114
50232,2.15905
50233,2.26712
50234,1.96629
50235,1.35884
50236,1.37624
50237,1.87192
50238,1.78686
50239,2.19995
50240,1.96011
50241,1.33257
50242,2.38107
50243,2.04333
50244,1.55597
50245,1.64084
50246,2.28922
50247,1.30516
50248,2.46580
50249,2.55616
50250,2.00068
50251,1.93316
50252,2.12462
50253,2.24955
50254,1.87715
50255,1.89206
50256,2.13391
50257,1.86136
50258,2.05146
50259,1.91737
50260,1.04466
50261,2.12887
50262,1.75805
50263,1.95630
50264,1.44995
50265,1.83027
50266,1.92088
50267,2.29417
50268,1.87032
50269,1.69024
50270,2.27470
50271,2.12814
50272,2.10450
50273,2.28930
50274,1.81220
50275,1.28659
50276,1.91067
50277,1.85386
50278,1.39094
50279,1.89580
50280,2.22432
50281,1.42002
50282,2.19414
50283,2.04932
50284,1.85994
50285,1.50474
50286,1.89661
50287,2.57538
50288,2.30073
50289,1.65000
50290,2.21555
50291,2.23498
50292,1.53924
50293,2.38796
50294,1.42898
50295,1.81793
50296,2.36077
50297,1.70811
50298,2.14003
50299,2.17482
50300,1.87414
50301,1.93555
50302,2.17195
50303,2.18541
50304,1.85840
50305,1.41419
50306,1.17334
50307,1.83960
50308,2.08332
50309,1.38989
50310,2.43766
50311,1.82534
50312,2.27213
50313,2.24149
50314,1.49961
50315,1.94770
50316,1.79077
50317,1.29258
50318,2.21228
50319,2.02198
50320,2.01464
50321,1.95259
50322,2.38293
50323,1.37455
50324,2.15084
50325,1.96468
50326,2.22299
50327,1.69213
50328,1.98180
50329,1.76985
