Id,y
50100,1.280
50101,1.393
50102,1.177
50103,1.212
50104,1.199
50105,1.027
50106,1.306
50107,1.346
50108,1.458
50109,1.377
50110,1.634
50111,1.394
50112,1.361
50113,1.444
50114,1.077
50115,1.228
50116,1.297
50117,1.353
50118,1.371
50119,1.212
50120,1.177
50121,1.452
50122,1.155
50123,1.582
50124,1.342
50125,1.148
50126,1.122
50127,1.385
50128,1.343
50129,0.782
50130,1.235
50131,1.213
50132,1.365
50133,1.473
50134,1.469
50135,1.370
50136,1.652
50137,1.226
50138,1.401
50139,1.413
50140,1.138
50141,1.171
50142,1.151
50143,1.611
50144,1.211
50145,1.396
50146,1.453
50147,1.376
50148,1.389
50149,1.319
50150,1.265
50151,1.060
50152,1.524
50153,1.264
50154,1.059
50155,1.364
50156,1.316
50157,1.305
50158,1.461
50159,1.021
50160,1.064
50161,1.214
50162,0.855
50163,1.296
50164,1.130
50165,1.479
50166,1.213
50167,1.351
50168,0.995
50169,1.252
50170,1.547
50171,1.066
50172,1.691
50173,1.141
50174,1.387
50175,1.193
50176,0.891
50177,1.170
50178,1.394
50179,1.437
50180,1.061
50181,0.780
50182,1.298
50183,1.649
50184,1.183
50185,1.080
50186,1.073
50187,1.438
50188,1.263
50189,1.311
50190,1.229
50191,1.094
50192,1.249
50193,1.152
50194,1.463
50195,1.142
50196,1.335
50197,1.070
50198,1.330
50199,1.408
50200,1.180
50201,1.056
50202,0.916
50203,0.827
50204,1.361
50205,0.922
50206,1.209
50207,1.377
50208,1.744
50209,1.469
50210,1.417
50211,1.523
50212,1.174
50213,1.292
50214,1.517
50215,1.143
50216,0.925
50217,1.487
50218,1.434
50219,1.418
50220,0.864
50221,1.268
50222,1.205
50223,1.299
50224,0.680
50225,1.313
50226,1.649
50227,1.326
50228,0.945
50229,1.312
50230,1.542
50231,0.981
50232,1.309
50233,1.377
50234,1.266
50235,1.357
50236,1.015
50237,1.405
50238,1.407
50239,1.425
50240,1.282
50241,1.108
50242,1.277
50243,1.414
50244,1.164
50245,1.485
50246,1.294
50247,1.685
50248,0.997
50249,1.345
50250,1.409
50251,1.425
50252,1.337
50253,1.404
50254,1.317
50255,1.491
50256,1.307
50257,1.033
50258,1.267
50259,1.501
50260,0.710
50261,1.275
50262,1.232
50263,1.584
50264,1.637
50265,1.323
50266,1.521
50267,1.063
50268,1.063
50269,1.431
50270,1.173
50271,1.469
50272,1.251
50273,1.495
50274,1.420
50275,1.243
50276,1.520
50277,1.543
50278,0.782
50279,1.718
50280,1.188
50281,1.487
50282,1.264
50283,1.490
50284,1.225
50285,1.092
50286,1.482
50287,1.140
50288,1.324
50289,1.505
50290,1.233
50291,0.992
50292,1.424
50293,1.285
50294,1.263
50295,1.564
50296,1.250
50297,1.157
50298,1.251
50299,1.437
50300,1.493
50301,1.361
50302,1.155
50303,1.393
50304,1.210
50305,1.681
50306,1.271
50307,1.362
50308,1.396
50309,1.274
50310,1.106
50311,1.427
50312,1.373
50313,0.991
50314,1.713
50315,1.206
50316,1.148
50317,1.130
50318,1.264
50319,1.431
50320,1.355
50321,1.392
50322,1.267
50323,1.605
50324,1.392
50325,1.394
50326,1.405
50327,1.343
50328,1.303
50329,1.574
50330,1.154
50331,1.137
50332,1.749
50333,1.210
50334,1.217
50335,1.154
50336,1.366
50337,1.697
50338,1.363
50339,1.380
50340,1.233
50341,1.186
50342,1.308
50343,1.360
50344,1.296
50345,1.204
50346,0.887
50347,1.102
50348,1.408
50349,0.993
50350,1.383
50351,1.342
50352,1.252
50353,1.029
50354,1.355
50355,1.634
50356,1.266
50357,1.330
50358,1.424
50359,1.547
50360,1.325
50361,1.507
50362,1.315
50363,1.009
50364,1.371
50365,1.743
50366,1.133
50367,1.418
50368,1.173
50369,1.401
50370,1.294
50371,1.149
50372,1.479
50373,1.048
50374,1.053
50375,1.076
50376,1.462
50377,1.455
50378,1.321
50379,1.593
50380,1.379
50381,1.804
50382,1.243
50383,1.225
50384,1.301
50385,1.165
50386,1.324
50387,1.015
50388,0.975
50389,1.219
50390,1.286
50391,1.244
50392,1.511
50393,1.459
50394,1.098
50395,1.445
50396,1.326
50397,1.138
50398,1.004
50399,1.482
50400,1.281
50401,0.937
50402,1.494
50403,1.371
50404,1.274
50405,1.475
50406,1.283
50407,1.217
50408,1.210
50409,1.302
50410,1.203
50411,1.246
50412,1.168
50413,1.097
50414,1.461
50415,1.797
50416,1.755
50417,1.157
50418,1.379
50419,1.564
50420,1.283
50421,1.347
50422,1.479
50423,1.280
50424,0.934
50425,1.342
50426,1.055
50427,1.446
50428,1.341
50429,1.017
50430,1.353
50431,1.187
50432,1.339
50433,1.369
50434,1.389
50435,1.277
50436,1.435
50437,1.439
50438,0.851
50439,1.865
50440,1.484
50441,1.159
50442,1.256
50443,2.016
50444,1.492
50445,0.966
50446,1.360
50447,1.472
50448,1.196
50449,1.006
50450,1.301
50451,1.290
50452,1.421
50453,1.335
50454,1.358
50455,1.173
50456,1.070
50457,0.783
50458,1.017
50459,1.448
50460,1.129
50461,1.180
50462,1.311
50463,1.417
50464,1.099
50465,1.022
50466,1.276
50467,1.283
50468,1.479
50469,1.347
50470,1.895
50471,1.426
50472,0.835
50473,1.474
50474,1.499
50475,1.158
50476,1.222
50477,1.346
50478,1.394
50479,1.275
50480,0.975
50481,1.581
50482,1.120
50483,1.335
50484,1.394
50485,1.123
50486,1.301
50487,1.350
50488,1.501
50489,1.292
50490,1.008
50491,1.301
50492,1.153
50493,1.073
50494,1.330
50495,1.146
50496,1.417
50497,1.209
50498,1.284
50499,1.457
50500,1.425
50501,1.289
50502,1.526
50503,1.499
50504,1.469
50505,1.283
50506,1.109
50507,1.286
50508,1.398
