Id,y
50100,1.49893
50101,1.73054
50102,1.89166
50103,1.54269
50104,1.68366
50105,1.77786
50106,1.68800
50107,1.71867
50108,1.55463
50109,1.64776
50110,2.12800
50111,1.74237
50112,1.84427
50113,1.94372
50114,1.82211
50115,1.61161
50116,1.73340
50117,1.80918
50118,1.61313
50119,2.13456
50120,1.64552
50121,1.72247
50122,1.98872
50123,1.84862
50124,1.92771
50125,1.75820
50126,1.56958
50127,1.78850
50128,1.92160
50129,1.36429
50130,1.47410
50131,1.57507
50132,1.68434
50133,1.70648
50134,1.87072
50135,1.68198
50136,1.89188
50137,1.89937
50138,1.83506
50139,1.89013
50140,1.56633
50141,1.66711
50142,1.61170
50143,2.06208
50144,1.74517
50145,1.94265
50146,1.89943
50147,1.73350
50148,1.51788
50149,1.83482
50150,2.08056
50151,1.71270
50152,1.74252
50153,1.61781
50154,1.96516
50155,1.64708
50156,1.64460
50157,1.71171
50158,1.94290
50159,1.93380
50160,1.70562
50161,1.76050
50162,1.54321
50163,1.72329
50164,1.86349
50165,1.92848
50166,1.90286
50167,1.69525
50168,1.72065
50169,1.95502
50170,1.85395
50171,1.72174
50172,1.77245
50173,1.48715
50174,1.67202
50175,1.85835
50176,1.56953
50177,1.58240
50178,1.81257
50179,1.74543
50180,1.29687
50181,1.54029
50182,1.86874
50183,2.04215
50184,1.61983
50185,2.00104
50186,1.55114
50187,1.56236
50188,1.58605
50189,1.54185
50190,1.43117
50191,1.73242
50192,1.57349
50193,1.47654
50194,1.90806
50195,1.77954
50196,1.76640
50197,1.63597
50198,1.61989
50199,1.83113
50200,1.88161
50201,1.73508
50202,1.79760
50203,1.87269
50204,1.86377
50205,1.62250
50206,1.53458
50207,1.79096
50208,2.08748
50209,2.19722
50210,1.87936
50211,1.91330
50212,1.48266
50213,1.66631
50214,1.95319
50215,1.81099
50216,1.75444
50217,2.06197
50218,1.61960
50219,1.51363
50220,1.64841
50221,1.50473
50222,1.46820
50223,1.55642
50224,1.50083
50225,1.72322
50226,1.89020
